Unit_or_type,Data_type
%,single
%/day,single
C,single
MJ/m2.d,single
Mg/ha,single
cm,single
cm/cm2,single
cm/cm2.d,single
cm/cm3,single
cm/cm3.d,single
cm/g,single
cm2,single
cm2/g,single
cm2/leaf,single
cm2/m2.d,single
cm2/plant,single
cm3/cm3,single
code,text
dap,single
date,single
day,single
doy,single
g,single
g/MJ,single
g/Mg,single
g/cm,single
g/cm2,single
g/cm3,single
g/corm,single
g/eye,single
g/m2,single
g/m2.d,single
g/plant,single
g/plant.d,single
g/shoot,single
g/unit,single
kg/ha,single
kg/ha.d,single
kg/hl,single
kg[N]/ha,single
kg[water]/kg[harvest],single
l/kg,single
m,single
m2/m2,single
m2/m2.d,single
mg,single
mg/cm2,single
mg/ha,single
mg/l,single
mg/m2.s,single
mm,single
mm/d,single
number,single
number/day,single
number/m,single
number/m2,single
number/m2.d,single
number/plant,single
number/shoot,single
ppm,single
ratio,single
t/ha,single
unitless,single
year,single
