Class,Relation,Class
Treatment,hasField,Field
Experiment,hasDocument,Document
Experiment,hasPlotMethod,PlotMethod
Experiment,hasMethod,Method
Experiment,managedByPerson,Person
Experiment,managedByInstitution,Institution
Experiment,hasNote,Note
Experiment,hasTreatment,Treatment
Institution,hasStaffPerson,Person
Treatment,hasField,Field
Treatment,hasSoilAnalysis,SoilAnalysis
Treatment,hasInitialContition,InitialCondition
Treatment,hasTillage,Tillage
Treatment,hasPlanting,Planting
Treatment,hasChemical,Chemical
Treatment,hasGenotype,Genotype
Treatment,hasFertilizer,Fertilizer
Treatment,hasOrganicMaterial,OrganicMaterial
Treatment,hasIrrigation,Irrigation
Treatment,hasHarvest,Harvest
Treatment,hasMeasuredData,MeasuredData
Field,hasSoilProfile,SoilProfile
Field,hasWeatherStation,WeatherStation
SoilAnalysis,hasSoilAnalysisLayer,SoilAnalysisLayer
Irrigation,hasIrrigationApplication,IrrigationApplication
Fertilizer,hasFertilizerApplication,FertilizerApplication
Treatment,hasMeasuredData,MeasureData
Summary,isa,MeasuredData
TimeSeries,isa,MeasuredData
